,"sujet1",AA,,sujet2,"AB",,sujet3,"BB",,sujet4,BA,,sujet5,BB,,sujet6,BA,,sujet7,AB,,sujet8,"BB",,sujet9,AA,,sujet10,AA,,sujet11,BA,,sujet12,AB,,sujet13,AB,,sujet14,BB,,sujet15,BA,,sujet16,AA,,sujet17,AB,,sujet18,BB,,sujet19,BA,,sujet20,AA,,sujet21,AB,,sujet22,AA,,sujet23,"BA",,sujet24,"BB",,sujet 25,AB,,sujet 26,BB,,sujet 27,AB,,sujet 28,BB,,sujet 29,BA,,sujet 30,BB,,sujet 31,AA,,sujet 32,AB,,sujet 33,BA,,sujet 34,AA,,sujet 35,AA,
,"ordre apparition",premier passage,deuxième passage,"ordre apparition",premier passage,deuxième passage,"ordre apparition",premier passage,deuxième passage,"ordre apparition",premier passage,deuxième passage,ordre apparition,premier passage,deuxieme passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage,ordre d'apparition,premier passage,deuxième passage
Ampoule,11,,,8,5,3,3,,,18,,,14,,,19,10,4,1,11,4,14,,,3,7,5,5,3,5,10,,,4,,,15,,,6,10,8,14,5,7,1,,,9,5,6,13,,14,15,,,6,11,,6,7,,15,7,,19,,,6,,,15,,,13,,14,1,11,4,14,,,18,,,11,,,2,,,11,,,20,1,1,10,,,4,,
Ananas,18,13,5,16,,,1,1,1,3,7,7,17,,,6,8,10,6,,,4,,,14,,,15,6,,8,,,13,,,18,,,5,5,2,1,7,10,14,,,4,,,14,2,2,9,10,3,3,6,,16,17,4,1,,,11,,,4,9,10,18,,,14,2,2,6,,,17,,,3,7,7,6,5,,11,,,12,7,9,11,,11,2,10,6,2,5,8
Bottes,2,2,11,2,10,,11,,,7,3,3,10,,,8,,,15,10,1,13,,,1,,11,2,11,1,4,,,8,,11,17,,,10,,,6,,,19,8,11,1,1,8,15,,16,16,7,10,1,,,6,6,8,8,8,5,3,2,3,17,4,4,17,,,15,,16,15,10,1,10,,,7,3,3,5,11,4,16,5,8,4,8,4,14,,,15,8,5,18,,
Bouteille,20,8,12,13,,,14,,,20,,,4,,,12,15,2,7,,,16,,,18,5,10,7,,,13,,,12,,,3,,,19,,,5,6,12,9,,,6,8,7,19,11,11,10,,,16,,,8,9,,14,,,7,,,20,1,6,3,,,19,11,11,7,,,4,,,20,,,9,,,7,,,6,,,2,,,7,,,15,,
Briquet,4,,,4,,,8,,,6,,,7,,8,13,14,13,18,,,10,,,8,,,3,,7,15,,,1,,,6,,,18,9,7,13,,9,15,7,12,12,9,5,2,8,15,20,5,9,11,10,,18,19,,16,14,6,9,,,15,3,7,6,,,2,8,15,18,,,7,,8,6,,,12,,,9,9,5,17,10,,6,10,8,16,,11,9,,
Calculatrice,19,9,8,18,,,6,,,5,,,16,,,14,12,14,16,13,2,3,,,11,,,14,,,3,,,3,,,5,7,6,4,,,19,,,10,,,20,,,4,9,5,14,,11,13,,,13,14,,12,11,8,10,12,8,3,,,5,7,6,4,9,5,16,13,2,16,,,5,,,20,4,7,14,,,13,11,2,13,,,3,,,12,,
Camion,15,7,7,7,2,4,17,4,5,4,,,9,2,6,15,,9,10,5,7,17,5,2,6,3,7,6,2,4,17,3,6,15,5,5,12,2,2,2,4,3,11,12,8,2,4,9,7,3,3,8,,17,5,,,7,,,15,16,7,3,6,12,17,4,4,2,11,8,12,2,2,8,,17,10,5,7,9,2,6,4,,,7,1,,12,3,7,15,,,8,8,3,11,9,7,13,10,3
Ciseaux,1,1,1,15,,,10,,,16,9,9,5,7,5,20,9,5,11,,,15,,,7,4,8,4,,2,20,4,7,18,4,4,4,,,20,2,,3,,,13,,,15,,,16,,13,2,2,2,4,,,17,18,9,13,,14,13,5,10,18,,,4,,,16,,13,11,,,5,7,5,16,9,9,13,,6,18,,,5,9,5,19,2,,5,6,,16,9,7
Classeur,7,11,3,11,7,8,4,,,11,6,6,11,8,4,16,5,8,9,2,8,12,3,3,17,,,18,5,10,14,6,3,11,2,1,13,8,,17,8,5,18,4,5,18,9,6,17,7,,5,5,7,18,3,4,17,3,,3,3,,11,5,9,6,3,1,11,,13,13,8,,5,5,7,9,2,8,11,8,4,11,6,6,10,6,2,4,6,3,16,5,6,10,12,4,4,2,2,8,8,1
Horloge,14,5,10,14,,,16,,,14,,,20,3,,5,3,1,19,8,5,2,,,9,10,3,19,8,3,11,7,5,2,7,7,16,,,15,,,16,2,2,11,2,10,2,2,1,7,4,6,4,4,6,12,,,9,12,6,9,12,13,8,,,5,6,2,16,,,7,4,6,19,8,5,20,3,,14,,,14,,,19,,,10,,1,9,7,12,18,7,4,5,,
Lampe de poche,5,,,19,,6,13,,8,17,,,12,,,7,,,20,12,3,11,7,7,4,8,4,16,4,6,2,2,1,5,,,8,,,1,1,9,4,11,,16,3,,5,4,,11,,,6,,,18,4,,5,5,,5,,,12,13,5,19,,,8,,,11,,,20,12,3,12,,,17,,,4,,,15,,,3,,,12,,,9,,,14,,
Livre,12,10,9,1,2,1,7,,,12,5,5,8,9,3,2,4,7,5,,9,18,4,4,10,2,1,9,10,11,6,5,4,19,1,2,20,1,7,7,3,4,9,13,,5,10,5,11,6,,9,6,8,13,,,2,5,,7,8,,19,,10,18,8,2,9,,12,20,1,7,9,6,8,5,,9,8,9,3,12,5,5,3,7,8,3,7,2,7,4,7,17,5,,14,,,3,7,2
Marteau,10,,,20,4,,9,7,3,13,,,2,1,1,10,1,,3,3,,1,,6,13,,,8,9,8,9,,,6,9,10,19,4,8,9,,,8,9,,3,12,2,3,10,9,18,10,4,19,,,10,2,,4,4,10,20,2,4,2,9,11,16,,,19,4,8,18,10,4,3,3,,2,1,1,13,,,19,9,5,8,,10,19,1,,1,9,7,6,5,9,10,3,5
Poêle,17,12,4,6,3,2,20,3,7,9,,,6,4,7,11,,,17,,,8,,,12,,,1,,,16,,,7,10,8,14,,,8,,,15,1,1,20,,,13,13,2,1,,,12,,8,15,9,,14,15,5,4,1,3,4,11,13,1,,,14,,,1,,,17,,,6,4,7,9,,,15,,,13,11,6,9,,,15,4,9,1,,,1,,
Pomme,3,3,2,9,6,5,2,2,2,15,8,8,15,5,,4,7,11,4,4,11,20,1,5,16,1,9,10,,,5,,,20,3,9,2,,,16,6,1,20,,4,17,11,8,16,12,4,17,1,1,1,1,1,8,7,,11,11,3,6,9,1,15,10,12,8,8,1,2,,,17,1,1,4,4,11,15,5,,15,8,8,8,,,10,8,,2,6,8,5,,10,8,,,7,,9
Scotch,13,6,,17,,,15,,,10,4,4,19,,,3,13,4,12,,,7,,,20,6,,17,,,18,,8,16,11,3,11,3,5,12,,,17,3,3,8,13,7,10,,,6,7,3,11,9,12,19,,,1,1,1,17,3,,1,6,9,10,7,3,11,3,5,6,7,3,12,,,19,,,10,4,4,16,,,1,4,9,20,,3,18,,,19,4,,19,2,
Tasse,6,,13,10,,,5,,,8,,,13,,,9,2,12,14,9,10,19,6,,5,11,2,20,1,,12,,,10,,6,7,5,4,11,,,2,,,12,6,4,19,,,10,12,10,7,,,14,,,19,20,,2,13,2,20,1,7,7,,,7,5,4,10,12,10,14,9,10,13,,,8,,,18,3,1,20,10,1,18,3,,16,11,5,20,1,8,6,,
Telephone,9,,,3,,,19,,,1,,,18,,,18,,,8,7,12,6,,,19,,,11,,,1,1,2,9,6,,9,,,14,,,7,,,4,,,18,,,20,3,,8,8,5,5,,,10,11,,18,10,7,5,,,13,5,5,9,,,20,3,,8,7,12,18,,,1,,,17,10,10,17,,,14,,,3,,,17,,,20,1,6
Théière,8,,14,12,9,7,18,5,6,2,1,1,1,6,2,1,6,6,2,1,6,5,,,2,9,6,13,,,19,,,14,,,10,6,3,3,,,10,8,11,6,5,3,14,,,3,13,9,17,6,7,20,8,,2,2,2,10,,15,14,7,6,12,10,11,10,6,3,3,13,9,2,1,6,1,6,2,2,1,1,1,2,9,6,2,,1,2,,4,6,6,12,3,3,17,6,
Tournevis,16,4,6,5,8,9,12,6,4,19,2,2,3,,,17,11,,13,6,,9,2,1,15,,,12,7,9,7,,,17,8,,1,9,1,13,7,6,12,10,6,7,1,1,8,11,10,12,,12,3,,,9,1,,12,13,11,7,4,11,16,,,14,2,9,1,9,1,12,,12,13,6,,3,,,19,2,2,2,8,3,5,1,4,8,,,7,3,2,13,,10,11,4,4
Section,,,,,,,,,,,,,,,,,matériaux,,,chimie,,maths,,,elec,,,syscom,,,info,,,cybersec,,,info,,,heig info,,,HEC,,,SV,,,SV,,,"pas aux études",,,Meca,,,"MAN (info)",,,,,,,,,GC,,,GC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maternel russe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,